Province,District,DATIM_Site_Name,Support Mechanism,Facility IP,E-HR Status,Site Classification,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,Ownership,Location,Level,Status
MANICALAND,Mutare,Zvipiripiri - 101828 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Zvipiripiri Rural Health Centre,Zvipiripiri - 101828 - Clinic,icwINxeOGNY,ZW010513,ZW01,,Government,Rural,Primary,Open
MASHONALAND WEST,Hurungwe,Zvipani - 101827 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Hurungwe,Zvipani Rural Health Centre,Zvipani - 101827 - Clinic,kBWmV90JkOu,ZW040206,ZW04,,Rural Council,Rural,Primary,Open
MASHONALAND WEST,Zvimba,Zvimba - 101826 - Rural Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Zvimba,Zvimba Rural Hospital,Zvimba - 101826 - Rural Hospital,AePpRuUfCzM,ZW04070G,ZW04,,Rural Council,Peri-Urban,Primary,RURAL
MASVINGO,Gutu,Zvavahera - 101824 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Gutu,Zvavahera Rural Health Centre,Zvavahera - 101824 - Clinic,diROooYxyaE,ZW080409,ZW08,,Government,Rural,Primary,Open
MIDLANDS,Gweru,Connemara - 100347 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,ZPS Connemara Prison Clinic,Connemara - 100347 - Clinic,a8GphVKSr2H,ZW070413,ZW07,,ZPS,Rural,Primary,
MASVINGO,Chivi,Zivuku - 101812 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Chivi,Zivuku Clinic,Zivuku - 101812 - Clinic,qlF46STsFVq,ZW080324,ZW08,,Rural Council,Rural,Primary,Open
MATEBELELAND NORTH,Nkayi,Zinyangeni - 101810 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Nkayi,Zinyangeni,Zinyangeni - 101810 - Rural Health Centre,uEle7GC3Lqv,ZW050529,ZW05,,,Rural,,
MANICALAND,Mutasa,Zindi - 101807 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutasa,Zindi Clinic,Zindi - 101807 - Clinic,xRiIyDXPWV5,ZW010635,ZW01,,Rural Council,Rural,,Open
MASVINGO,Masvingo,Zimuto BC-101885-Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Masvingo,Zimuto BC Clinic,Zimuto BC-101885-Clinic,l3E01g797F0,ZW080534,ZW08,,RDC,Rural,Primary,Open
MANICALAND,Mutare,Zimunya - 101805 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Zimunya Clinic,Zimunya - 101805 - Clinic,s5QteHELIvJ,ZW010539,ZW01,,Rural Council,Rural,Primary,Open
MATEBELELAND SOUTH,Umzingwane,Zimbili - 101911 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Umzingwane,Zimbili Clinic,Zimbili - 101911 - Clinic,cMnfYLDG3wb,ZW060634,ZW06,,Rural Council,Rural,,
MATEBELELAND SOUTH,Insiza,Zhulube - 101793 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Insiza,Zhulube Clinic,Zhulube - 101793 - Clinic,krUJBXgxsij,ZW060426,ZW06,,Rural Council,Rural,,
MIDLANDS,Kwekwe,Zhombe - 101792 - Mission Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Zhombe Mission Hospital,Zhombe - 101792 - Mission Clinic,RgkNZppVRq4,ZW07050C,ZW07,,Mission,Rural,Secondary,
MASHONALAND EAST,Seke,Zhakata - 101788 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Seke,Zhakata Rural Health Centre,Zhakata - 101788 - Rural Health Centre,chIGBlc6iFM,ZW030902,ZW03,,Government,Rural,clinic,Active
MATEBELELAND SOUTH,Beitbridge,Zezane - 101787 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Beitbridge,Zezani Clinic,Zezane - 101787 - Clinic,T9MjXsATFab,ZW060131,ZW06,,Rural Council,Rural,,
